frame_idx,timestamp_sec,class_name,det_conf,x1,y1,x2,y2,plate_text,ocr_conf
24,0.8,plate_number,0.3652,454,409,555,445,,0.2311
25,0.833,plate_number,0.383,451,410,556,445,,0.1257
26,0.867,plate_number,0.3996,449,407,559,446,74027,0.7003
27,0.9,plate_number,0.4032,449,407,559,446,7027,0.6919
28,0.933,plate_number,0.4064,445,402,582,447,7027,0.5583
29,0.967,plate_number,0.4185,447,407,574,441,70Z7G1,0.3561
30,1.0,plate_number,0.4502,445,404,558,443,74021G,0.3849
31,1.033,plate_number,0.4095,444,404,552,440,,0.0977
32,1.067,plate_number,0.4121,445,404,553,439,,0.2344
33,1.1,plate_number,0.3856,445,404,554,440,,0.1494
34,1.133,plate_number,0.376,447,407,560,437,,0.06
35,1.167,plate_number,0.4188,446,407,567,438,K0ZT,0.3456
36,1.2,plate_number,0.3733,446,408,556,437,,0.0
37,1.233,plate_number,0.3653,443,406,552,442,,0.1132
38,1.267,plate_number,0.359,446,407,547,438,,0.0
39,1.3,plate_number,0.3717,445,406,545,437,,0.0644
40,1.333,plate_number,0.4026,443,406,553,436,,0.0
41,1.367,plate_number,0.4098,444,406,545,436,DOZ7,0.3827
42,1.4,plate_number,0.4231,444,406,545,436,,0.0295
43,1.433,plate_number,0.4423,442,406,555,434,,0.0
44,1.467,plate_number,0.4655,442,405,556,435,,0.2221
45,1.5,plate_number,0.4526,442,405,555,435,L027,0.3909
46,1.533,plate_number,0.4339,443,406,546,437,7027,0.9454
47,1.567,plate_number,0.4037,444,406,551,438,,0.2132
48,1.6,plate_number,0.4045,440,404,556,443,70Z7,0.7298
49,1.633,plate_number,0.4048,440,404,556,443,70Z7,0.7236
50,1.667,plate_number,0.3941,440,404,556,443,70Z7,0.7915
51,1.7,plate_number,0.3821,444,406,552,439,,0.1585
52,1.733,plate_number,0.3757,444,406,552,439,70Z701,0.2515
53,1.767,plate_number,0.3832,444,406,549,438,,0.1193
54,1.8,plate_number,0.4197,444,406,546,437,702761,0.3433
55,1.833,plate_number,0.4508,444,406,545,437,,0.2086
56,1.867,plate_number,0.4365,444,407,546,438,702761,0.2708
57,1.9,plate_number,0.4393,444,407,547,438,702760,0.4844
58,1.933,plate_number,0.4398,444,407,549,440,70Z760,0.4726
59,1.967,plate_number,0.4391,444,407,550,440,70Z760,0.3503
60,2.0,plate_number,0.4513,444,407,551,440,70Z761,0.5258
61,2.033,plate_number,0.4251,444,407,551,441,,0.1083
62,2.067,plate_number,0.3896,444,408,552,443,70Z761,0.4851
63,2.1,plate_number,0.3838,444,408,554,444,,0.0643
64,2.133,plate_number,0.4281,443,406,559,447,,0.0
65,2.167,plate_number,0.4565,443,407,560,447,,0.0
66,2.2,plate_number,0.4608,445,410,558,445,40Z7,0.3806
67,2.233,plate_number,0.4614,446,410,560,445,,0.0
68,2.267,plate_number,0.4726,446,411,555,445,4027,0.3569
69,2.3,plate_number,0.4812,446,411,557,445,,0.1041
70,2.333,plate_number,0.4759,445,411,555,445,74027,0.6933
71,2.367,plate_number,0.4814,444,409,555,447,,0.0
72,2.4,plate_number,0.4656,447,411,561,445,7027761,0.5367
73,2.433,plate_number,0.4745,448,409,562,448,702761,0.5811
74,2.467,plate_number,0.476,445,409,571,446,4027,0.7924
75,2.5,plate_number,0.5251,445,410,565,445,7402761,0.252
76,2.533,plate_number,0.5627,447,411,562,445,7027G1,0.356
77,2.567,plate_number,0.5294,448,410,563,445,7027G1,0.4051
78,2.6,plate_number,0.5256,448,411,560,446,70Z7,0.8809
79,2.633,plate_number,0.5389,452,411,555,446,,0.1133
80,2.667,plate_number,0.5034,453,412,555,445,6027QU,0.2518
81,2.7,plate_number,0.4763,450,411,559,445,,0.1232
82,2.733,plate_number,0.4782,450,411,559,445,,0.1825
83,2.767,plate_number,0.4765,450,411,559,445,,0.05
84,2.8,plate_number,0.4921,450,411,560,445,,0.145
85,2.833,plate_number,0.5226,449,410,560,445,7027,0.8791
86,2.867,plate_number,0.5383,449,410,560,445,702701,0.5304
87,2.9,plate_number,0.5483,448,410,565,446,,0.2367
88,2.933,plate_number,0.5531,448,409,565,445,7027,0.9807
89,2.967,plate_number,0.5702,447,409,567,446,6027,0.7979
90,3.0,plate_number,0.5755,446,411,562,446,,0.0542
91,3.033,plate_number,0.5727,442,410,558,449,,0.1273
92,3.067,plate_number,0.5079,442,410,553,449,,0.1483
93,3.1,plate_number,0.4881,446,411,554,446,7027,0.5444
94,3.133,plate_number,0.4912,446,411,554,446,7027,0.5982
95,3.167,plate_number,0.4886,442,412,552,450,,0.2091
96,3.2,plate_number,0.5696,442,413,555,449,702701,0.3459
97,3.233,plate_number,0.5609,442,412,557,451,702771,0.575
98,3.267,plate_number,0.5592,442,411,560,451,,0.1509
99,3.3,plate_number,0.582,447,412,557,449,7027,0.965
100,3.333,plate_number,0.5603,449,412,562,447,70277701,0.3547
101,3.367,plate_number,0.491,450,413,559,447,,0.1825
102,3.4,plate_number,0.4416,449,413,556,447,70Z7,0.5182
103,3.433,plate_number,0.4163,450,413,556,447,70ZT,0.4348
104,3.467,plate_number,0.3855,450,413,557,447,,0.0
105,3.5,plate_number,0.3934,450,412,566,447,,0.0
106,3.533,plate_number,0.4267,450,411,582,448,,0.0
107,3.567,plate_number,0.4364,451,410,585,448,,0.0
108,3.6,plate_number,0.4633,451,411,583,448,,0.0
109,3.633,plate_number,0.4437,452,411,583,448,,0.0
110,3.667,plate_number,0.4316,453,412,577,447,,0.0
111,3.7,plate_number,0.3904,455,415,568,449,,0.0
112,3.733,plate_number,0.352,454,412,585,448,,0.0
114,3.8,plate_number,0.3542,454,412,587,448,,0.0
115,3.833,plate_number,0.3616,454,412,584,447,,0.0
116,3.867,plate_number,0.397,455,412,581,447,7027,0.5894
117,3.9,plate_number,0.4438,456,412,579,447,4021,0.6727
118,3.933,plate_number,0.4611,456,413,573,447,Z021,0.5182
119,3.967,plate_number,0.4449,456,413,572,447,,0.1599
120,4.0,plate_number,0.393,455,412,588,448,,0.2247
121,4.033,plate_number,0.3919,455,412,589,448,70ZI,0.3784
122,4.067,plate_number,0.4192,455,412,587,447,,0.0
123,4.1,plate_number,0.4432,455,412,584,448,,0.0
124,4.133,plate_number,0.4742,456,413,574,448,7027,0.7437
125,4.167,plate_number,0.478,456,413,572,448,,0.2393
126,4.2,plate_number,0.4716,456,413,574,448,7027,0.9946
127,4.233,plate_number,0.4729,456,413,573,448,7027,0.9938
128,4.267,plate_number,0.4917,455,412,569,448,7027761,0.4118
129,4.3,plate_number,0.4709,454,412,569,448,702761,0.6163
130,4.333,plate_number,0.4546,454,412,571,448,7027,0.907
131,4.367,plate_number,0.4558,454,412,576,448,7027,0.718
132,4.4,plate_number,0.4732,456,416,564,449,7027,0.6294
133,4.433,plate_number,0.5021,455,413,572,448,7027,0.999
134,4.467,plate_number,0.5043,455,413,574,448,7027,0.9942
135,4.5,plate_number,0.4891,454,414,570,448,702761,0.6619
136,4.533,plate_number,0.4846,454,414,569,448,7027,0.9708
137,4.567,plate_number,0.493,453,415,567,450,,0.1161
138,4.6,plate_number,0.4509,455,415,558,451,,0.0
139,4.633,plate_number,0.4702,451,410,566,453,70Z7,0.4734
140,4.667,plate_number,0.5515,446,411,581,461,,0.0
141,4.7,plate_number,0.5549,449,424,556,463,,0.0
142,4.733,plate_number,0.5219,446,427,560,464,,0.0
143,4.767,plate_number,0.5569,441,428,574,468,,0.0
144,4.8,plate_number,0.5653,441,434,548,467,,0.0
145,4.833,plate_number,0.5909,434,437,559,477,,0.1441
146,4.867,plate_number,0.6832,436,444,553,481,,0.0335
147,4.9,plate_number,0.6067,431,447,557,489,,0.2388
148,4.933,plate_number,0.5227,426,460,547,497,,0.0
149,4.967,plate_number,0.5234,422,462,546,497,,0.0
150,5.0,plate_number,0.5197,416,475,542,512,,0.0
151,5.033,plate_number,0.5676,406,480,533,526,,0.0
153,5.1,plate_number,0.4935,389,505,524,547,,0.0
154,5.133,plate_number,0.5548,383,515,537,559,,0.0
155,5.167,plate_number,0.5459,369,530,524,578,,0.0
156,5.2,plate_number,0.6566,357,542,516,587,,0.0
157,5.233,plate_number,0.48,346,561,480,605,,0.0
158,5.267,plate_number,0.6461,335,574,467,620,,0.0
159,5.3,plate_number,0.5212,318,593,459,639,,0.0
162,5.4,plate_number,0.3685,516,321,609,349,,0.0
163,5.433,plate_number,0.4418,516,323,608,350,,0.0
164,5.467,plate_number,0.364,513,327,607,351,,0.0
165,5.5,plate_number,0.3644,509,326,607,352,,0.0154
166,5.533,plate_number,0.366,512,328,606,354,,0.0
167,5.567,plate_number,0.5248,509,330,605,356,,0.0
168,5.6,plate_number,0.4715,508,332,604,359,,0.0412
169,5.633,plate_number,0.4994,506,333,604,361,,0.0
170,5.667,plate_number,0.5664,503,335,603,364,,0.0
171,5.7,plate_number,0.5742,502,337,601,366,,0.0
172,5.733,plate_number,0.5928,502,340,602,366,,0.0
173,5.767,plate_number,0.616,503,342,603,368,,0.0
174,5.8,plate_number,0.588,502,343,601,371,,0.0
175,5.833,plate_number,0.6004,500,346,599,374,,0.0
176,5.867,plate_number,0.6088,499,349,598,376,,0.0713
177,5.9,plate_number,0.5863,496,350,596,380,,0.0
178,5.933,plate_number,0.5973,493,352,595,382,,0.0
179,5.967,plate_number,0.5766,493,353,595,382,,0.0
